C_LOC_MEV;NOMBRE DEL PROGRAMA;PROGRAMA;PROGRAMA II;ENTREGADA;AÑO;N;TP;PU;AR;UP;MP
3527;CONSTRUCCIÓN DE BRIGADA ANTIDROGAS EN SAUCE;OTROS;CONVENIO;20/12/2023;2024;0;0;0;0;0;0
3527;REFACCIÓN ESC. N.º 16 CUCHILLA DE ROCHA;OTROS;CONVENIO;23/02/2024;2024;0;0;0;0;0;0
13521;MITIGACIÓN MINAS DE CORRALES – LIMA;OTROS;CONVENIO;28/02/2024;2024;0;0;0;0;0;0
89002;REFACCIÓN ESC. Nº 98 EL TORNERO;OTROS;CONVENIO;29/02/2024;2024;0;0;0;0;0;0
89003;COLONIA REGLAMENTO DE TIERRAS 1815;OTROS;INC;29/02/2024;2024;0;0;0;0;0;0
169001;REFACCIÓN ESC. Nº 91 COL. FERNÁNDEZ CRESPO;OTROS;CONVENIO;15/03/2024;2024;0;0;0;0;0;0
8521;CASUPÁ PU II;PU;PU;29/02/2024;2024;0;0;2;0;0;0
8521;CASUPÁ N V;NÚCLEO;NÚCLEO;29/02/2024;2024;48;0;0;0;0;0
4521;FRAILE MUERTO  NV;NÚCLEO;NÚCLEO;23/02/2024;2024;43;0;0;0;0;0
4521;FRAILE MUERTO  AR II;AR;AR;23/02/2024;2024;0;0;0;2;0;0
4521;FRAILE MUERTO  PU;PU;PU;23/02/2024;2024;0;0;9;0;0;0
7320;AVANZAR TRINIDAD (DINISU) Segunda entrega;NÚCLEO;CONVENIO;11/12/2023;2023;3;0;0;0;0;0
29009;REFACCIÓN ESC. Nº 11 PAGUERO;OTROS;CONVENIO;31/10/2023;2023;0;0;0;0;0;0
2952;REFACCIÓN ESC. Nº 46 RINCÓN DE PACHECO;OTROS;CONVENIO;22/12/2023;2023;0;0;0;0;0;0
29008;REFACCIÓN ESC. Nº 49 CHIFLERO;OTROS;CONVENIO;08/06/2023;2023;0;0;0;0;0;0
119008;REFACCIÓN ESC. Nº 79 SAN MAURICIO;OTROS;CONVENIO;28/09/2023;2023;0;0;0;0;0;0
11521;ACCESO VEHICULAR ESC. Nº 77 GUICHÓN;OTROS;CONVENIO;25/09/2023;2023;0;0;0;0;0;0
129002;REFACCIÓN ESC. N.º 29 PORTONES DE HAEDO;OTROS;CONVENIO;22/12/2023;2023;0;0;0;0;0;0
4924;REFACCIÓN ESC. N.º 61 ARÉVALO;OTROS;CONVENIO;24/08/2023;2023;0;0;0;0;0;0
89008;REFACCIÓN ESC. Nº 61 PUNTA DE CALLEROS;OTROS;CONVENIO;08/08/2023;2023;0;0;0;0;0;0
89007;REFACCIÓN ESC. Nº 81 PUNTAS DE PARANÁ;OTROS;CONVENIO;13/10/2023;2023;0;0;0;0;0;0
8923;REFACCIÓN ESC. Nº 54 BERRONDO;OTROS;CONVENIO;22/12/2023;2023;0;0;0;0;0;0
89006;REFACCIÓN ESC. Nº 55 ARROYO PELADO;OTROS;CONVENIO;17/11/2023;2023;0;0;0;0;0;0
11521;REFACCIÓN HOSPITAL EXISTENTE GUICHÓN;OTROS;CONVENIO;06/07/2023;2023;0;0;0;0;0;0
11937;REFACCIÓN POLICLÍNICA ORGOROSO;OTROS;CONVENIO;13/10/2023;2023;0;0;0;0;0;0
159006;INM. 896 ZANJA HONDA;OTROS;INC;22/11/2023;2023;0;0;0;0;0;0
159005;INM.520, FR.2A;OTROS;INC;22/12/2023;2023;0;0;0;0;0;0
159002;COL.L.SEREGNI, INM.855;OTROS;INC;22/12/2023;2023;0;0;0;0;0;0
159003;COL. RUBIO, INM.884;OTROS;INC;15/03/2023;2023;0;0;0;0;0;0
179006;COL. INC T. COLLAZO;OTROS;INC;31/10/2023;2023;0;0;0;0;0;0
179005;COLONIA LARRAÑAGA INC;OTROS;INC;31/08/2023;2023;0;0;0;0;0;0
59009;INM.632 PARAJE HOSPITAL;OTROS;INC;22/12/2023;2023;0;0;0;0;0;0
59008;INM.718 SUSANA DALMÁS;OTROS;INC;22/12/2023;2023;0;0;0;0;0;0
14962;DESTACAMENTO BOMBEROS Y GUARDIA REPUBLICANA PTA DEL DIABLO;OTROS;CONVENIO;14/04/2023;2023;0;0;0;0;0;0
4220;CED Y ACOG. FAMILIAR MELO (INAU);OTROS;CONVENIO;04/08/2023;2023;0;0;0;0;0;0
16421;CENTRO DE REFERENCIA LIBERTAD (INAU);OTROS;CONVENIO;29/11/2023;2023;0;0;0;0;0;0
9220;HOGAR INFANTIL MONTERROSO (INAU);OTROS;CONVENIO;31/10/2023;2023;0;0;0;0;0;0
3221;SERVICIO DE AGRIMENSURA A INAU PADRÓN 224;OTROS;CONVENIO;31/10/2023;2023;0;0;0;0;0;0
4521;REFACCIÓN JUZGADO DE PAZ FRAILE MUERTO;OTROS;CONVENIO;22/08/2023;2023;0;0;0;0;0;0
6622;REFACCIÓN JUZGADO DE PAZ LA PALOMA;OTROS;CONVENIO;09/10/2023;2023;0;0;0;0;0;0
12621;REFACCIÓN JUZGADO DE PAZ NUEVO BERLÍN;OTROS;CONVENIO;29/09/2023;2023;0;0;0;0;0;0
6421;REFACCIÓN JUZGADO DE PAZ SARANDÍ DEL YÍ;OTROS;CONVENIO;22/12/2023;2023;0;0;0;0;0;0
15949;REFACCIÓN JUZGADO DE PAZ COL. LAVALLEJA;OTROS;CONVENIO;22/09/2023;2023;0;0;0;0;0;0
11924;MITIGACIÓN BELLA VISTA;OTROS;CONVENIO;29/09/2023;2023;0;0;0;0;0;0
69007;MITIGACIÓN NORESTE DURAZNO;OTROS;CONVENIO;24/08/2023;2023;0;0;0;0;0;0
49009;MITIGACIÓN TIERRAS COLORADAS;OTROS;CONVENIO;10/09/2023;2023;0;0;0;0;0;0
2725;MITIGACIÓN SEQUEIRA;OTROS;CONVENIO;24/08/2023;2023;0;0;0;0;0;0
