PIPL;NUM;TIPO;NUM_TIPO;FECHA_INSCRIPCION
18 de Julio, Rocha;1;Vivienda Nucleada;1;2023-12-07
18 de Julio, Rocha;1;Planta Urbana;1;2023-12-07
25 de Agosto;1;Vivienda Nucleada;1;2017-02-10
25 de Agosto;1;Planta Urbana;1;2017-02-10
25 de Agosto;1;Área Rural;1;2017-02-10
Aigua - Los Talas;1;Planta Urbana;1;2018-10-04
Aigua - Los Talas;1;Área Rural;1;2018-10-04
Algorta;1;Vivienda Nucleada;1;2016-04-22
Algorta;1;Planta Urbana;1;2016-04-22
Algorta;1;Área Rural;1;2016-04-22
Algorta;2;Vivienda Nucleada;2;2016-06-20
Algorta;2;Planta Urbana;2;2016-06-20
Algorta;2;Área Rural;2;2016-06-20
Alrededor de Tacuarembó;1;Vivienda Nucleada;1;2016-08-26
Alrededor de Tacuarembó;1;Planta Urbana;1;2016-08-26
Alrededor de Tacuarembó;1;Área Rural;1;2016-08-26
Alrededor de Tacuarembó;2;Área Rural;2;2016-12-06
Alrededor de Tacuarembó;3;Área Rural;3;2018-10-09
ANSINA;1;Vivienda Nucleada;1;2016-09-01
ANSINA;1;Planta Urbana;1;2016-09-01
ANSINA;1;Área Rural;1;2016-09-01
ANSINA;2;Vivienda Nucleada;2;2016-11-03
ANSINA;2;Planta Urbana;2;2016-11-03
ANSINA;2;Área Rural;2;2016-11-03
ANSINA;3;Vivienda Nucleada;3;2018-06-14
ANSINA;3;Planta Urbana;3;2018-06-14
ANSINA;3;Área Rural;3;2018-06-14
Baltasar Brum;1;Vivienda Nucleada;1;2016-10-06
Baltasar Brum;1;Planta Urbana;1;2016-10-06
Baltasar Brum;1;Área Rural;1;2016-10-06
Baltasar Brum;2;Vivienda Nucleada;2;2016-12-13
Baltasar Brum;2;Planta Urbana;2;2016-12-13
Baltasar Brum;2;Área Rural;2;2016-12-13
Barker - Manantiales, Colonia;1;Vivienda Nucleada;1;2024-05-14
Barker - Manantiales, Colonia;1;Planta Urbana;1;2024-05-14
Barker - Manantiales, Colonia;1;Área Rural;1;2024-05-14
Bella Union;1;Vivienda Nucleada;1;2022-11-22
Bernabé Rivera;1;Vivienda Nucleada;1;2023-09-12
Bernabé Rivera;1;Planta Urbana;1;2023-09-12
Bernabé Rivera;1;Área Rural;1;2023-09-12
Blanquillo - La Paloma ;1;Planta Urbana;1;2019-12-05
Blanquillo - La Paloma ;1;Área Rural;1;2019-12-05
Blanquillo - La Paloma ;2;Vivienda Nucleada;1;2020-08-20
Blanquillo - La Paloma ;3;Vivienda Nucleada;2;2021-02-10
Blanquillo - La Paloma ;4;Planta Urbana;2;2023-06-29
Capilla del Sauce;1;Vivienda Nucleada;1;2020-12-03
Capilla del Sauce;1;Planta Urbana;1;2020-12-03
Capilla del Sauce;1;Área Rural;1;2020-12-03
Carreta Quemada;1;Vivienda Nucleada;1;2023-07-06
Carreta Quemada;1;Planta Urbana;1;2023-07-06
Carreta Quemada;1;Área Rural;1;2023-07-06
Castillos;1;Planta Urbana;1;2021-06-21
Castillos;1;Área Rural;1;2021-06-21
Castillos;2;Vivienda Nucleada;1;2021-11-16
Casupa - Fray Marcos;1;Planta Urbana;1;2017-03-01
Casupa - Fray Marcos;1;Área Rural;1;2017-03-01
Casupa - Fray Marcos;2;Vivienda Nucleada;1;2022-03-30
Cerro Carmelo;1;Vivienda Nucleada;1;2023-02-23
Cerro Carmelo;1;Planta Urbana;1;2023-02-23
Cerro Carmelo;1;Área Rural;1;2023-02-23
Cerro Colorado - Flores;1;Vivienda Nucleada;1;2023-03-16
Cerro Colorado - Flores;1;Planta Urbana;1;2023-03-16
Cerro Colorado - Flores;1;Área Rural;1;2023-03-16
Cerro Colorado (Gallinal) - Florida;1;Planta Urbana;1;2023-05-25
Cerro Colorado (Gallinal) - Florida;1;Área Rural;1;2023-05-25
Cerro Colorado (Gallinal) - Florida;2;Vivienda Nucleada;1;2023-11-23
Chapicuy - Parada Dayman;1;Planta Urbana;1;2024-05-21
Chapicuy - Parada Dayman;1;Área Rural;1;2024-05-21
Chuy;1;Vivienda Nucleada;1;2022-10-11
Clara, Tacuarembó;1;Planta Urbana;1;2023-11-21
Clara, Tacuarembó;1;Área Rural;1;2023-11-21
Cordón Hortícola Salto NE;1;Vivienda Nucleada;1;2018-04-27
Cordón Hortícola Salto NE;1;Planta Urbana;1;2018-04-27
Cordón Hortícola Salto NE;1;Área Rural;1;2018-04-27
Cordón Hortícola Salto NE;2;Vivienda Nucleada;2;2018-04-26
Cordón Hortícola Salto NE;2;Planta Urbana;2;2018-04-26
Cordón Hortícola Salto NE;2;Área Rural;2;2018-04-26
Cordón Hortícola Salto NE;3;Vivienda Nucleada;3;2019-02-21
Cordón Hortícola Salto NE;3;Planta Urbana;3;2019-02-21
Cordón Hortícola Salto NE;3;Área Rural;3;2019-02-21
Cordón Hortícola Salto NE;4;Vivienda Nucleada;4;2018-11-12
Cordón Hortícola Salto NE;5;Vivienda Nucleada;5;2022-08-17
Cuaró;1;Vivienda Nucleada;1;2022-02-23
Cuaró;1;Planta Urbana;1;2022-02-23
Cuaró;1;Área Rural;1;2022-02-23
Curtina;1;Vivienda Nucleada;1;2018-01-24
Curtina;1;Planta Urbana;1;2018-01-24
Curtina;1;Área Rural;1;2018-01-24
Curtina;2;Vivienda Nucleada;2;2018-06-01
Curtina;2;Planta Urbana;2;2018-06-01
Curtina;2;Área Rural;2;2018-06-01
Ecilda Paullier;1;Planta Urbana;1;2022-12-09
Ecilda Paullier;1;Área Rural;1;2022-12-09
Eje Ruta 26;1;Planta Urbana;1;2022-07-28
Eje Ruta 26;1;Área Rural;1;2022-07-28
Eje Ruta 77;1;Planta Urbana;1;2019-08-13
