CODCOMP,H_TOT,P_TOT,H_PAR,P_TOT_PAR
101001001,3,6,3,6
101001003,0,0,0,0
101001004,1,3,1,3
101001005,20,57,20,57
101001007,68,141,68,141
101001008,20,38,20,38
101001010,44,96,44,96
101001011,41,89,41,89
101001012,125,216,125,216
101001400,0,0,0,0
101001600,13,50,13,50
101001601,0,0,0,0
101002004,2,4,2,4
101002005,2,2,2,2
101002006,1,5,0,0
101002007,1,3,1,3
101002008,0,0,0,0
101002009,0,0,0,0
101002010,8,15,8,15
101002011,47,89,47,89
101002012,87,159,87,159
101002013,64,198,62,117
101002014,61,122,61,122
101002015,37,63,37,63
101002400,0,0,0,0
101002401,0,0,0,0
101002402,0,0,0,0
101002600,0,0,0,0
101003001,104,214,104,214
101003002,0,0,0,0
101003003,12,19,12,19
101003004,80,179,80,179
101003005,21,37,21,37
101003006,21,42,21,42
101003007,24,53,24,53
101003008,30,59,30,59
101003010,56,111,55,110
101003011,0,0,0,0
101003012,1,4,1,4
101003400,0,0,0,0
101003401,0,0,0,0
101003402,0,0,0,0
101003600,0,0,0,0
101003800,27,57,26,54
101003801,6,11,6,11
101104001,62,145,61,130
101104002,95,171,95,171
101104006,25,50,25,50
101104007,161,256,161,256
101104008,64,260,59,118
101105001,152,294,152,294
101105002,131,315,131,315
101105006,41,68,41,68
101105007,80,141,80,141
101204003,66,131,66,131
101204004,119,271,117,226
101204005,96,216,95,180
101204009,47,84,47,84
101204010,35,52,35,52
101205003,160,364,159,320
101205004,34,69,33,67
101205005,8,11,7,9
101205008,112,208,111,178
101205009,209,340,209,340
101205010,0,0,0,0
101205500,0,0,0,0
102001001,0,0,0,0
102001002,2,3,1,1
102001003,0,0,0,0
102001004,14,30,14,30
102001005,45,147,45,147
102001006,79,216,79,216
102001007,1,4,1,4
102001009,95,255,95,255
102001010,46,117,45,114
102001011,2,10,0,0
102001012,82,201,82,201
102001400,0,0,0,0
102001401,0,0,0,0
102001500,0,0,0,0
102001600,0,0,0,0
102001601,0,0,0,0
102003001,14,32,14,32
102003002,4,5,4,5
102003003,0,0,0,0
102003004,0,0,0,0
102003005,0,0,0,0
102003006,25,57,25,57
102003007,86,233,86,233
102003008,7,16,7,16
102003009,26,75,26,75
102003010,42,93,42,93
102003011,117,275,117,275
102004001,6,21,6,21
102004002,12,29,12,29
102004003,46,102,46,102
102004004,42,92,42,92
102004005,1,3,1,3
102004006,10,20,10,20
102004007,6,8,6,8
102004008,0,0,0,0
102102001,0,0,0,0
102102002,1,1,1,1
102102003,28,53,28,53
102102004,44,93,44,93
102102005,0,0,0,0
102102006,0,0,0,0
102102007,34,63,34,63
102102008,73,154,73,154
102102009,64,170,64,170
102102013,40,128,40,128
102202010,3,11,3,11
102202011,29,56,29,56
102202012,57,108,57,108
102202014,7,13,7,13
102202015,0,0,0,0
102202016,84,150,84,150
102202017,68,130,68,130
102202018,71,169,71,169
103003001,26,50,26,50
103003002,17,29,17,29
103003003,8,16,8,16
103003004,6,10,4,4
103003005,0,0,0,0
103003006,44,86,44,86
103003007,45,93,45,93
103003008,11,18,11,18
103003009,49,88,49,88
103003010,94,194,94,194
103101001,2,4,0,0
103101002,83,208,83,208
103101003,70,178,69,173
103101004,63,169,61,148
103101010,37,74,37,74
103101011,80,184,80,184
103101012,62,147,62,147
103101400,0,0,0,0
103101401,0,0,0,0
103101402,0,0,0,0
103101500,0,0,0,0
103101501,0,0,0,0
103101600,1,2,1,2
103102002,14,25,14,25
103102003,31,87,31,87
103102004,76,180,76,180
103102010,89,195,89,195
103102400,0,0,0,0
103102600,56,120,56,120
103104001,106,245,106,245
103104002,108,250,107,206
103104012,99,180,99,180
103104400,0,0,0,0
103104401,0,0,0,0
103104500,0,0,0,0
103104600,2,36,0,0
103201005,46,99,46,99
103201006,55,112,55,112
103201007,0,0,0,0
103201008,75,139,75,139
103201009,131,258,130,256
103202005,96,242,96,242
103202006,95,188,95,188
103202007,143,270,143,270
103202400,0,0,0,0
103202500,0,0,0,0
103202600,65,152,65,152
103204003,83,200,81,156
103204004,103,181,103,181
103204005,61,88,61,88
103204006,37,68,37,68
103204007,63,108,63,108
103204010,0,0,0,0
103204400,0,0,0,0
103204500,0,0,0,0
103204600,0,0,0,0
104001001,5,8,5,8
104001002,3,5,2,2
104001003,60,91,60,91
104001004,0,0,0,0
104001005,8,19,8,19
104001006,0,0,0,0
104001007,0,0,0,0
104001008,0,0,0,0
104001009,234,354,234,354
104001010,0,0,0,0
104001011,88,149,88,149
104001012,119,230,119,230
104001500,0,0,0,0
104102001,57,124,57,124
104102003,109,204,109,204
104102004,108,269,108,269
104102006,208,378,208,378
