CODLOC,H_TOT,P_TOT,H_PAR,P_TOT_PAR
1020,484559,1304729,483688,1289455
1900,3416,14026,3409,10256
2000,0,0,0,0
2220,13218,40657,13206,40348
2521,3874,12200,3873,12195
2522,802,2659,802,2659
2621,728,2531,728,2531
2721,119,380,119,380
2724,222,935,222,935
2725,341,1149,341,1149
2822,141,438,140,437
2823,194,710,193,693
2824,33,113,33,113
2826,40,140,40,140
2827,5,16,5,16
2828,726,2771,726,2771
2830,435,1642,435,1642
2831,104,323,103,322
2833,146,531,146,531
2900,1287,3524,1246,3422
2925,106,355,106,355
2927,78,264,78,264
2934,37,128,37,128
2945,11,38,11,38
2952,6,27,6,27
2957,31,124,31,124
2958,224,790,224,790
2959,118,440,118,440
2961,20,52,20,52
2962,124,425,124,425
2963,4,15,3,11
3221,23165,71258,23143,70867
3320,7217,19865,7198,19537
3321,6991,20524,6987,20454
3322,9115,25947,9102,25791
3323,5907,16742,5888,16450
3324,47,132,47,132
3325,8,32,8,32
3326,21,68,20,46
3327,3,7,3,7
3328,0,0,0,0
3329,21,54,21,54
3421,5176,16244,5172,16226
3422,2565,7133,2560,7059
3521,10131,31650,10127,31598
3523,3028,9624,3025,9535
3524,2130,6570,2128,6551
3525,5266,15908,5263,15878
3526,1329,3727,1325,3632
3527,2207,6132,2199,5985
3528,2018,5089,2013,5015
3529,2952,9813,2952,9813
3530,2899,9295,2899,9295
3621,2188,5562,2182,5459
3622,768,2274,765,2264
3624,895,2508,894,2486
3625,1545,4199,1545,4199
3626,847,2109,845,2089
3627,2981,7896,2976,7851
3628,766,1973,764,1941
3629,1754,4510,1750,4445
3630,683,1797,681,1761
3631,1420,4397,1417,4355
3632,694,1760,692,1735
3633,2571,7288,2566,7246
3634,489,1513,489,1513
3721,390,1047,390,1047
3722,1801,5410,1798,5361
3723,402,1305,402,1305
3724,654,1595,651,1582
3725,438,1313,438,1313
3726,1232,3146,1230,3134
3727,3108,8628,3107,8617
3729,3212,8626,3207,8584
3730,582,1489,581,1483
3731,28,90,24,77
3732,6497,18573,6487,18472
3733,1259,4307,1259,4307
3823,201,520,201,520
3825,247,826,247,826
3826,414,965,413,957
3827,175,550,175,550
3828,7005,21091,6999,21009
3829,60,144,60,144
3830,1682,4724,1681,4720
3831,2890,8066,2887,8026
3832,230,662,230,662
3833,153,409,153,409
3834,765,1878,764,1876
3835,1126,3195,1125,3182
3836,260,746,259,736
3837,416,1344,416,1344
3838,174,542,174,542
3839,467,1419,467,1419
3840,87,213,87,213
3880,68,242,68,242
3881,75,235,75,235
3882,46,147,46,147
3900,16795,48219,16769,46579
3910,391,1104,391,1104
3911,144,456,144,456
3912,228,770,228,770
3913,232,756,232,756
3914,102,333,102,333
3921,71,152,71,152
3922,35,68,35,68
3925,174,416,174,416
3926,27,57,27,57
3927,50,139,50,139
3928,103,299,103,299
3929,55,119,55,119
3934,105,279,105,279
3935,233,527,233,527
3939,362,988,362,988
3942,53,140,53,140
3943,127,296,127,296
3944,51,145,51,145
3945,59,183,58,168
3946,202,458,202,458
3948,141,492,141,492
3949,125,396,125,396
3953,6596,19124,6594,19097
3956,67,153,67,153
3957,1265,3543,1265,3543
3959,1733,4774,1733,4774
3962,44,142,44,142
3966,40,98,40,98
3968,121,332,121,332
3969,35,91,35,91
3970,81,192,81,192
3974,118,273,118,273
3975,123,286,122,285
3978,196,622,196,622
3979,52,147,52,147
3980,257,622,257,622
3984,166,507,166,507
3985,91,204,91,204
3986,39,86,39,86
3987,924,2813,924,2813
3988,64,178,64,178
3989,185,615,185,615
3990,54,137,54,137
3991,13,44,13,44
3992,15,56,15,56
3993,209,806,209,806
3994,23,80,23,80
3995,48,184,48,184
3996,16,57,16,57
3997,45,168,45,168
4220,18109,51830,18089,51541
4521,1085,3168,1084,3148
4522,5159,14604,5154,14556
4621,397,1122,397,1122
4721,761,2331,761,2331
4821,525,1511,525,1511
4822,70,207,70,207
4823,15,35,15,35
4824,104,263,104,263
4825,163,505,163,505
4827,169,415,169,415
4828,45,132,45,132
4829,66,195,66,195
4830,36,104,36,104
4900,2175,5936,2154,5768
4923,55,189,55,189
4924,77,272,77,272
4930,24,72,24,72
4940,6,26,6,26
4943,16,28,16,28
4948,41,131,41,131
4949,194,439,193,435
4952,2,6,2,6
4956,4,13,4,13
4966,14,70,14,70
4968,45,150,45,150
4981,4,9,4,9
4983,156,522,156,522
4987,112,388,112,388
4988,7,20,7,20
4989,2,5,2,5
5320,9751,26231,9724,25929
5321,6384,18041,6370,17869
5323,4918,12816,4910,12693
5421,4127,10630,4115,10437
5422,3900,10085,3894,10045
5423,3664,9857,3657,9786
5452,25,78,25,78
5521,1276,3390,1272,3353
5522,2516,6632,2506,6514
5621,1276,3235,1271,3045
5622,1311,3716,1310,3703
5721,150,401,149,387
5722,55,168,55,168
5724,231,603,230,579
5726,50,138,50,138
5727,40,85,40,85
5798,80,192,80,192
5821,6,12,6,12
5824,138,353,138,353
5826,205,600,205,600
5827,97,249,97,249
5829,20,60,20,60
5831,355,999,354,954
5900,4042,11471,4036,11237
5923,102,298,102,298
5924,33,73,33,73
5925,54,158,54,158
5927,11,19,11,19
5931,32,69,31,54
5932,14,27,14,27
5938,31,73,31,73
5940,43,120,43,120
5951,92,193,92,193
5955,23,61,23,61
5956,32,100,32,100
5959,12,25,12,25
5960,43,107,42,97
5961,17,45,17,45
5962,42,84,42,84
5964,23,60,23,60
5969,100,294,100,294
5977,22,73,22,73
5979,92,222,92,222
5980,21,52,21,52
5987,36,96,36,96
5989,42,112,42,112
5993,3,9,3,9
5994,39,136,39,136
5996,23,68,23,68
5997,110,309,110,309
5998,66,222,66,222
5999,21,56,21,56
6220,11226,34368,11212,34191
6421,2525,7176,2522,7142
6521,948,2692,947,2688
6621,399,1084,399,1084
6622,483,1443,483,1443
6721,317,976,315,952
6722,385,1136,385,1136
6724,367,1094,366,1092
6790,436,1124,436,1124
6821,51,161,51,161
6900,1778,4951,1744,4784
6922,20,86,20,86
6924,14,29,14,29
6940,23,77,23,77
6951,25,89,25,89
6960,25,72,25,72
6964,155,502,155,502
6972,9,24,9,24
7320,7672,21429,7653,21137
7721,324,918,324,918
7900,778,2068,744,1989
7921,89,261,89,261
7925,31,97,31,97
7937,64,181,64,181
7938,28,96,28,96
8220,11647,33639,11616,33303
8421,2361,6130,2357,6060
8521,941,2402,938,2360
8621,448,1202,447,1184
8622,961,2398,960,2392
8623,643,1849,643,1849
8624,668,1852,668,1852
